Punten,nagalmtijd
1.0,0.2976884248908167
1.0,0.2553072803051259
1.0,0.2235384287457082
2.0,0.2021777876543655
2.0,0.3406137896316989
2.0,0.3195932861373523
3.0,0.3310899369158129
3.0,0.3293212214114351
3.0,0.3214300291611303
4.0,0.0950344446006559
4.0,0.1053746275493319
4.0,0.0997283434392
5.0,0.098231738012418
5.0,0.0914970135918977
5.0,0.0850343992489759
6.0,0.3278246159846532
6.0,0.3163279652061912
6.0,0.3166000752837883
7.0,0.3061918648157133
7.0,0.09224531630529
7.0,0.087483389947347
8.0,0.1042181597195446
8.0,0.1016331139823769
8.0,0.1374155891863453
9.0,0.1826538895868008
9.0,0.2351711345629681
9.0,0.2790488845754408
10.0,0.2606814543376607
10.0,0.2483684733264102
10.0,0.3631989260722279
11.0,0.3043551217919353
11.0,0.3948317225928464
11.0,0.3802738334414215
12.0,0.3801377784026223
12.0,0.3387770466079223
12.0,0.332790624900793
13.0,0.3004095256667836
13.0,0.2327221438645983
13.0,0.2149669613014126
14.0,0.1225175624379244
14.0,0.2942190214014575
14.0,0.2553753078245262
15.0,0.4093215842248709
15.0,0.3731989714239065
15.0,0.1858511829985616
16.0,0.2278921899872563
16.0,0.2649671880598099
16.0,0.2789128295366416
17.0,0.3434029179270661
17.0,0.3082326903976895
17.0,0.3358518632737572
18.0,0.1885042562551309
18.0,0.2491167760398012
18.0,0.3767364024326634
19.0,0.4025188322849531
19.0,0.5102744230132559
19.0,0.3242191574564974
20.0,0.6173497385475679
20.0,0.3819745214264016
20.0,0.6571458373960883
